id,label
CL:0000000,cell
CL:0000001,primary cultured cell
CL:0000002,obsolete immortal cell line cell
CL:0000003,obsolete native cell
CL:0000004,obsolete cell by organism
CL:0000005,neural crest derived fibroblast
CL:0000006,neuronal receptor cell
CL:0000007,early embryonic cell (metazoa)
CL:0000008,migratory cranial neural crest cell
CL:0000009,obsolete fusiform initial
CL:0000010,cultured cell
CL:0000011,migratory trunk neural crest cell
CL:0000012,obsolete cell by class
CL:0000013,obsolete dentine secreting cell
CL:0000014,germ line stem cell
CL:0000015,male germ cell
CL:0000016,male germ line stem cell
CL:0000017,spermatocyte
CL:0000018,spermatid
CL:0000019,sperm
CL:0000020,spermatogonium
CL:0000021,female germ cell
CL:0000022,female germ line stem cell
CL:0000023,oocyte
CL:0000024,oogonial cell
CL:0000025,egg cell
CL:0000026,invertebrate nurse cell
CL:0000027,smooth muscle cell neural crest derived
CL:0000028,CNS neuron (sensu Nematoda and Protostomia)
CL:0000029,neural crest derived neuron
CL:0000030,glioblast
CL:0000031,neuroblast (sensu Vertebrata)
CL:0000032,neuroplacodal cell
CL:0000033,apocrine cell
CL:0000034,stem cell
CL:0000035,single fate stem cell
CL:0000036,epithelial fate stem cell
CL:0000037,hematopoietic stem cell
CL:0000038,erythroid progenitor cell
CL:0000039,germ line cell
CL:0000040,monoblast
CL:0000041,mature eosinophil
CL:0000042,neutrophilic myeloblast
CL:0000043,mature basophil
CL:0000045,obsolete thymus processed stem cell
CL:0000046,obsolete bursa processed stem cell
CL:0000047,neural stem cell
CL:0000048,multi fate stem cell
CL:0000049,common myeloid progenitor
CL:0000050,megakaryocyte-erythroid progenitor cell
CL:0000051,common lymphoid progenitor
CL:0000052,totipotent stem cell
CL:0000054,obsolete bone matrix secreting cell
CL:0000055,obsolete non-terminally differentiated cell
CL:0000056,myoblast
CL:0000057,fibroblast
CL:0000058,chondroblast
CL:0000059,ameloblast
CL:0000060,odontoblast
CL:0000061,cementoblast
CL:0000062,osteoblast
CL:0000063,obsolete cell by histology
CL:0000064,ciliated cell
CL:0000065,ependymal cell
CL:0000066,epithelial cell
CL:0000067,ciliated epithelial cell
CL:0000068,duct epithelial cell
CL:0000069,branched duct epithelial cell
CL:0000070,obsolete epithelial cell of gland
CL:0000071,blood vessel endothelial cell
CL:0000072,non-branched duct epithelial cell
CL:0000073,obsolete barrier epithelial cell
CL:0000074,obsolete epithem cell
CL:0000075,columnar/cuboidal epithelial cell
CL:0000076,squamous epithelial cell
CL:0000077,mesothelial cell
CL:0000078,peridermal cell
CL:0000079,stratified epithelial cell
CL:0000080,circulating cell
CL:0000081,blood cell
CL:0000082,epithelial cell of lung
CL:0000083,epithelial cell of pancreas
CL:0000084,T cell
CL:0000085,obsolete germ line stem cell (sensu Vertebrata)
CL:0000086,obsolete germ line stem cell (sensu Nematoda and Protostomia)
CL:0000087,obsolete male germ line stem cell (sensu Nematoda and Protostomia)
CL:0000088,obsolete female germ line stem cell (sensu Nematoda and Protostomia)
CL:0000089,obsolete male germ line stem cell (sensu Vertebrata)
CL:0000090,obsolete female germ line stem cell (sensu Vertebrata)
CL:0000091,Kupffer cell
CL:0000092,osteoclast
CL:0000093,obsolete osteochondroclast
CL:0000094,granulocyte
CL:0000095,neuron associated cell
CL:0000096,mature neutrophil
CL:0000097,mast cell
CL:0000098,sensory epithelial cell
CL:0000099,interneuron
CL:0000100,motor neuron
CL:0000101,sensory neuron
CL:0000102,polymodal neuron
CL:0000103,bipolar neuron
CL:0000104,multipolar neuron
CL:0000105,pseudounipolar neuron
CL:0000106,unipolar neuron
CL:0000107,autonomic neuron
CL:0000108,cholinergic neuron
CL:0000109,adrenergic neuron
CL:0000110,peptidergic neuron
CL:0000111,obsolete peripheral neuron
CL:0000112,columnar neuron
CL:0000113,mononuclear phagocyte
CL:0000114,surface ectodermal cell
CL:0000115,endothelial cell
CL:0000116,pioneer neuron
CL:0000117,CNS neuron (sensu Vertebrata)
CL:0000118,basket cell
CL:0000119,cerebellar Golgi cell
CL:0000120,granule cell
CL:0000121,Purkinje cell
CL:0000122,stellate neuron
CL:0000123,neuron associated cell (sensu Vertebrata)
CL:0000124,obsolete glial cell (sensu Nematoda and Protostomia)
CL:0000125,glial cell
CL:0000126,macroglial cell
CL:0000127,astrocyte
CL:0000128,oligodendrocyte
CL:0000129,microglial cell
CL:0000130,neuron associated cell (sensu Nematoda and Protostomia)
CL:0000131,gut endothelial cell
CL:0000132,corneal endothelial cell
CL:0000133,neurectodermal cell
CL:0000134,mesenchymal stem cell
CL:0000135,circulating fibrocyte
CL:0000136,adipocyte
CL:0000137,osteocyte
CL:0000138,chondrocyte
CL:0000140,odontocyte
CL:0000141,cementocyte
CL:0000142,hyalocyte
CL:0000143,guidepost cell
CL:0000144,obsolete cell by function
CL:0000145,professional antigen presenting cell
CL:0000146,simple columnar epithelial cell
CL:0000147,pigment cell
CL:0000148,melanocyte
CL:0000149,visual pigment cell
CL:0000150,glandular secretory epithelial cell
CL:0000151,secretory cell
CL:0000152,exocrine cell
CL:0000153,glycosaminoglycan secreting cell
CL:0000154,protein secreting cell
CL:0000155,peptic cell
CL:0000156,obsolete antibody secreting cell
CL:0000157,surfactant secreting cell
CL:0000158,club cell
CL:0000159,seromucus secreting cell
CL:0000160,goblet cell
CL:0000161,obsolete acid secreting cell
CL:0000162,parietal cell
CL:0000163,endocrine cell
CL:0000164,enteroendocrine cell
CL:0000165,neuroendocrine cell
CL:0000166,chromaffin cell
CL:0000167,peptide hormone secreting cell
CL:0000168,insulin secreting cell
CL:0000169,type B pancreatic cell
CL:0000170,glucagon secreting cell
CL:0000171,pancreatic A cell
CL:0000172,somatostatin secreting cell
CL:0000173,pancreatic D cell
CL:0000174,steroid hormone secreting cell
CL:0000175,luteal cell
CL:0000176,ecdysteroid secreting cell
CL:0000177,testosterone secreting cell
CL:0000178,Leydig cell
CL:0000179,progesterone secreting cell
CL:0000180,estradiol secreting cell
CL:0000181,obsolete metabolising cell
CL:0000182,hepatocyte
CL:0000183,contractile cell
CL:0000185,myoepithelial cell
CL:0000186,myofibroblast cell
CL:0000187,muscle cell
CL:0000188,cell of skeletal muscle
CL:0000189,slow muscle cell
CL:0000190,fast muscle cell
CL:0000192,smooth muscle cell
CL:0000193,cardiac muscle cell (sensu Arthopoda)
CL:0000194,obsolete nodal cardiac cell
CL:0000195,obsolete Purkinje fiber
